,level_0,index,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
167,53,53,W840X576,W33X387,73500,914,576.0,371.0,95.8,22100000.0,3280000.0,411,57.9,32,10100000000.0,674000000.0
168,66,66,W760X582,W30X391,74200,843,582.0,340.0,93.2,20500000.0,3240000.0,396,62,34.5,8620000000.0,645000000.0
169,17,17,W1000X584,W40X392,74800,1060,584.0,409.0,67.1,23600000.0,2130000.0,315,64,36.1,12400000000.0,334000000.0
170,36,36,W920X588,W36X395,74800,975,588.0,399.0,98.6,24400000.0,3410000.0,427,55.9,31,11900000000.0,728000000.0
171,8,8,W1000X591,W40X397,75500,1040,591.0,422.0,92.5,25600000.0,3130000.0,409,55.9,31,13300000000.0,641000000.0
172,184,184,W360X592,W14X398,75500,465,592.0,182.0,109.0,10700000.0,4290000.0,422,72.4,45,2500000000.0,903000000.0
173,183,183,W360X634,W14X426,80600,475,634.0,184.0,110.0,11600000.0,4640000.0,424,77.2,47.8,2750000000.0,982000000.0
174,7,7,W1000X642,W40X431,81900,1050,642.0,422.0,92.7,27700000.0,3410000.0,411,59.9,34,14500000000.0,703000000.0
175,35,35,W920X656,W36X441,83900,988,656.0,399.0,99.6,27000000.0,3850000.0,432,62,34.5,13400000000.0,828000000.0
176,182,182,W360X677,W14X455,86500,483,677.0,186.0,111.0,12400000.0,4980000.0,427,81.5,51.3,2990000000.0,1070000000.0
177,34,34,W920X725,W36X487,92300,998,725.0,401.0,101.0,30000000.0,4310000.0,434,68.1,38.1,15000000000.0,937000000.0
178,181,181,W360X744,W14X500,94800,498,744.0,190.0,113.0,13700000.0,5560000.0,432,88.9,55.6,3420000000.0,1200000000.0
179,6,6,W1000X748,W40X503,95500,1070,748.0,427.0,94.5,32400000.0,4080000.0,417,70.1,39.1,17300000000.0,849000000.0
180,33,33,W920X787,W36X529,101000,1010,787.0,406.0,102.0,32600000.0,4740000.0,437,73.9,40.9,16500000000.0,1040000000.0
181,82,82,W690X802,W27X539,103000,826,802.0,323.0,92.7,25700000.0,4540000.0,389,89.9,50,10700000000.0,878000000.0
182,180,180,W360X818,W14X550,105000,513,818.0,194.0,114.0,15300000.0,6190000.0,437,97,60.5,3930000000.0,1350000000.0
183,5,5,W1000X883,W40X593,112000,1090,883.0,432.0,96.5,38300000.0,4950000.0,424,82,45.5,21000000000.0,1050000000.0
184,179,179,W360X900,W14X605,115000,531,900.0,198.0,116.0,17000000.0,6930000.0,442,106,66,4500000000.0,1530000000.0
185,32,32,W920X970,W36X652,124000,1040,970.0,411.0,104.0,40300000.0,6010000.0,447,89.9,50,21100000000.0,1340000000.0
186,4,4,W1000X976,W40X655,125000,1110,975.0,434.0,98.0,42500000.0,5570000.0,429,89.9,50,23500000000.0,1190000000.0
187,178,178,W360X990,W14X665,126000,549,990.0,203.0,117.0,18800000.0,7730000.0,450,115,71.9,5160000000.0,1740000000.0
188,31,31,W920X1077,W36X723,137000,1060,1080.0,417.0,106.0,44900000.0,6820000.0,452,99.1,55.1,23800000000.0,1540000000.0
189,177,177,W360X1086,W14X730,139000,569,1090.0,208.0,119.0,21000000.0,8640000.0,455,125,78,5950000000.0,1960000000.0
190,30,30,W920X1194,W36X802,152000,1080,1190.0,422.0,107.0,49800000.0,7670000.0,457,109,60.5,27000000000.0,1750000000.0
191,176,176,W360X1202,W14X808,154000,579,1200.0,208.0,123.0,22800000.0,9780000.0,472,130,95,6620000000.0,2310000000.0
192,29,29,W920X1269,W36X853,162000,1090,1270.0,424.0,109.0,53300000.0,8280000.0,462,115,64,29100000000.0,1910000000.0
193,175,175,W360X1299,W14X873,166000,599,1300.0,213.0,124.0,25100000.0,10800000.0,478,140,100,7530000000.0,2570000000.0
194,28,28,W920X1377,W36X925,175000,1090,1380.0,417.0,108.0,55600000.0,8700000.0,472,115,76.7,30400000000.0,2060000000.0
