AISC_Manual_Label,Unnamed: 0,level_0,index,AISC_Manual_Label.1,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
W33X152,87,62,62,W840X226,29000.000 mm²,851.000 mm,226.0,343.0,62.7,7980000.000 mm³,773000.000 mm³,295.000 mm,26.900 mm,16.100 mm,3400000000.000 mm⁴,114000000.000 mm⁴
W24X192,88,106,106,W610X285,36500.000 mm²,648.000 mm,285.0,267.0,78.0,8050000.000 mm³,1340000.000 mm³,330.000 mm,37.100 mm,20.600 mm,2610000000.000 mm⁴,221000000.000 mm⁴
W36X150,89,51,51,W920X223,28600.000 mm²,912.000 mm,223.0,363.0,62.7,8260000.000 mm³,739000.000 mm³,305.000 mm,23.900 mm,15.900 mm,3760000000.000 mm⁴,112000000.000 mm⁴
W27X178,90,91,91,W690X265,33900.000 mm²,706.000 mm,265.0,295.0,82.6,8280000.000 mm³,1290000.000 mm³,358.000 mm,30.200 mm,18.400 mm,2920000000.000 mm⁴,231000000.000 mm⁴
W14X311,91,187,187,W360X463,59000.000 mm²,434.000 mm,463.0,175.0,107.0,8290000.000 mm³,3260000.000 mm³,411.000 mm,57.400 mm,35.800 mm,1800000000.000 mm⁴,670000000.000 mm⁴
W40X149,92,27,27,W1000X222,28300.000 mm²,970.000 mm,222.0,381.0,58.2,8410000.000 mm³,636000.000 mm³,300.000 mm,21.100 mm,16.000 mm,4080000000.000 mm⁴,95300000.000 mm⁴
W18X258,93,143,143,W460X384,49000.000 mm²,546.000 mm,384.0,217.0,73.2,8420000.000 mm³,1750000.000 mm³,300.000 mm,58.400 mm,32.500 mm,2290000000.000 mm⁴,261000000.000 mm⁴
W21X223,94,122,122,W530X332,42900.000 mm²,594.000 mm,332.0,243.0,77.2,8520000.000 mm³,1580000.000 mm³,323.000 mm,45.500 mm,25.400 mm,2530000000.000 mm⁴,256000000.000 mm⁴
W24X207,95,105,105,W610X307,39200.000 mm²,653.000 mm,307.0,269.0,78.2,8700000.000 mm³,1460000.000 mm³,330.000 mm,39.900 mm,22.100 mm,2840000000.000 mm⁴,241000000.000 mm⁴
W30X173,96,74,74,W760X257,32800.000 mm²,772.000 mm,257.0,323.0,86.9,8870000.000 mm³,1310000.000 mm³,381.000 mm,27.200 mm,16.600 mm,3430000000.000 mm⁴,249000000.000 mm⁴
W36X160,97,50,50,W920X238,30300.000 mm²,914.000 mm,238.0,366.0,63.5,8880000.000 mm³,805000.000 mm³,305.000 mm,25.900 mm,16.500 mm,4060000000.000 mm⁴,123000000.000 mm⁴
W33X169,98,61,61,W840X251,31900.000 mm²,859.000 mm,251.0,348.0,63.5,9000000.000 mm³,883000.000 mm³,292.000 mm,31.000 mm,17.000 mm,3870000000.000 mm⁴,129000000.000 mm⁴
W14X342,99,186,186,W360X509,65200.000 mm²,445.000 mm,509.0,177.0,108.0,9140000.000 mm³,3620000.000 mm³,417.000 mm,62.700 mm,39.100 mm,2040000000.000 mm⁴,753000000.000 mm⁴
W27X194,100,90,90,W690X289,36800.000 mm²,714.000 mm,289.0,297.0,83.6,9160000.000 mm³,1440000.000 mm³,356.000 mm,34.000 mm,19.100 mm,3270000000.000 mm⁴,258000000.000 mm⁴
W18X283,101,142,142,W460X421,53700.000 mm²,556.000 mm,421.0,219.0,73.9,9260000.000 mm³,1930000.000 mm³,302.000 mm,63.500 mm,35.600 mm,2570000000.000 mm⁴,293000000.000 mm⁴
W21X248,102,121,121,W530X369,47600.000 mm²,602.000 mm,369.0,244.0,78.2,9440000.000 mm³,1790000.000 mm³,325.000 mm,50.500 mm,27.900 mm,2840000000.000 mm⁴,291000000.000 mm⁴
W36X170,103,49,49,W920X253,32300.000 mm²,919.000 mm,253.0,368.0,64.3,9520000.000 mm³,872000.000 mm³,305.000 mm,27.900 mm,17.300 mm,4370000000.000 mm⁴,133000000.000 mm⁴
W24X229,104,104,104,W610X341,43400.000 mm²,660.000 mm,341.0,272.0,79.0,9640000.000 mm³,1630000.000 mm³,333.000 mm,43.900 mm,24.400 mm,3180000000.000 mm⁴,271000000.000 mm⁴
W30X191,105,73,73,W760X284,36200.000 mm²,780.000 mm,284.0,325.0,87.9,9830000.000 mm³,1470000.000 mm³,381.000 mm,30.200 mm,18.000 mm,3830000000.000 mm⁴,280000000.000 mm⁴
W40X167,106,26,26,W1000X249,31800.000 mm²,980.000 mm,249.0,389.0,61.0,9830000.000 mm³,785000.000 mm³,300.000 mm,26.200 mm,16.500 mm,4830000000.000 mm⁴,118000000.000 mm⁴
W14X370,107,185,185,W360X551,70300.000 mm²,455.000 mm,551.0,180.0,108.0,9950000.000 mm³,3950000.000 mm³,419.000 mm,67.600 mm,42.200 mm,2260000000.000 mm⁴,828000000.000 mm⁴
W18X311,108,141,141,W460X464,59100.000 mm²,566.000 mm,464.0,221.0,74.9,10200000.000 mm³,2160000.000 mm³,305.000 mm,69.600 mm,38.600 mm,2900000000.000 mm⁴,331000000.000 mm⁴
