AISC_Manual_Label,Unnamed: 0,level_0,index,AISC_Manual_Label.1,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
W40X362,176,10,10,W1000X539,68400.000 mm²,1.030 m,539.0,419.0,91.4,23300000.000 mm³,2830000.000 mm³,406.000 mm,51.100 mm,28.400 mm,12000000000.000 mm⁴,574000000.000 mm⁴
W40X392,177,17,17,W1000X584,74800.000 mm²,1.060 m,584.0,409.0,67.1,23600000.000 mm³,2130000.000 mm³,315.000 mm,64.000 mm,36.100 mm,12400000000.000 mm⁴,334000000.000 mm⁴
W40X372,178,9,9,W1000X554,71000.000 mm²,1.030 m,554.0,419.0,91.4,23900000.000 mm³,2900000.000 mm³,409.000 mm,52.100 mm,29.500 mm,12300000000.000 mm⁴,591000000.000 mm⁴
W36X395,179,36,36,W920X588,74800.000 mm²,975.000 mm,588.0,399.0,98.6,24400000.000 mm³,3410000.000 mm³,427.000 mm,55.900 mm,31.000 mm,11900000000.000 mm⁴,728000000.000 mm⁴
W14X873,180,175,175,W360X1299,166000.000 mm²,599.000 mm,1300.0,213.0,124.0,25100000.000 mm³,10800000.000 mm³,478.000 mm,140.000 mm,100.000 mm,7530000000.000 mm⁴,2570000000.000 mm⁴
W40X397,181,8,8,W1000X591,75500.000 mm²,1.040 m,591.0,422.0,92.5,25600000.000 mm³,3130000.000 mm³,409.000 mm,55.900 mm,31.000 mm,13300000000.000 mm⁴,641000000.000 mm⁴
W27X539,182,82,82,W690X802,103000.000 mm²,826.000 mm,802.0,323.0,92.7,25700000.000 mm³,4540000.000 mm³,389.000 mm,89.900 mm,50.000 mm,10700000000.000 mm⁴,878000000.000 mm⁴
W36X441,183,35,35,W920X656,83900.000 mm²,988.000 mm,656.0,399.0,99.6,27000000.000 mm³,3850000.000 mm³,432.000 mm,62.000 mm,34.500 mm,13400000000.000 mm⁴,828000000.000 mm⁴
W40X431,184,7,7,W1000X642,81900.000 mm²,1.050 m,642.0,422.0,92.7,27700000.000 mm³,3410000.000 mm³,411.000 mm,59.900 mm,34.000 mm,14500000000.000 mm⁴,703000000.000 mm⁴
W36X487,185,34,34,W920X725,92300.000 mm²,998.000 mm,725.0,401.0,101.0,30000000.000 mm³,4310000.000 mm³,434.000 mm,68.100 mm,38.100 mm,15000000000.000 mm⁴,937000000.000 mm⁴
W40X503,186,6,6,W1000X748,95500.000 mm²,1.070 m,748.0,427.0,94.5,32400000.000 mm³,4080000.000 mm³,417.000 mm,70.100 mm,39.100 mm,17300000000.000 mm⁴,849000000.000 mm⁴
W36X529,187,33,33,W920X787,101000.000 mm²,1.010 m,787.0,406.0,102.0,32600000.000 mm³,4740000.000 mm³,437.000 mm,73.900 mm,40.900 mm,16500000000.000 mm⁴,1040000000.000 mm⁴
W40X593,188,5,5,W1000X883,112000.000 mm²,1.090 m,883.0,432.0,96.5,38300000.000 mm³,4950000.000 mm³,424.000 mm,82.000 mm,45.500 mm,21000000000.000 mm⁴,1050000000.000 mm⁴
W36X652,189,32,32,W920X970,124000.000 mm²,1.040 m,970.0,411.0,104.0,40300000.000 mm³,6010000.000 mm³,447.000 mm,89.900 mm,50.000 mm,21100000000.000 mm⁴,1340000000.000 mm⁴
W40X655,190,4,4,W1000X976,125000.000 mm²,1.110 m,975.0,434.0,98.0,42500000.000 mm³,5570000.000 mm³,429.000 mm,89.900 mm,50.000 mm,23500000000.000 mm⁴,1190000000.000 mm⁴
W36X723,191,31,31,W920X1077,137000.000 mm²,1.060 m,1080.0,417.0,106.0,44900000.000 mm³,6820000.000 mm³,452.000 mm,99.100 mm,55.100 mm,23800000000.000 mm⁴,1540000000.000 mm⁴
W36X802,192,30,30,W920X1194,152000.000 mm²,1.080 m,1190.0,422.0,107.0,49800000.000 mm³,7670000.000 mm³,457.000 mm,109.000 mm,60.500 mm,27000000000.000 mm⁴,1750000000.000 mm⁴
W36X853,193,29,29,W920X1269,162000.000 mm²,1.090 m,1270.0,424.0,109.0,53300000.000 mm³,8280000.000 mm³,462.000 mm,115.000 mm,64.000 mm,29100000000.000 mm⁴,1910000000.000 mm⁴
W36X925,194,28,28,W920X1377,175000.000 mm²,1.090 m,1380.0,417.0,108.0,55600000.000 mm³,8700000.000 mm³,472.000 mm,115.000 mm,76.700 mm,30400000000.000 mm⁴,2060000000.000 mm⁴
