,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
213,W1100X390,W44X262,49800,1100,390.0,450.0,88.1,18200000.0,1920000.0,401,36.1,19.9,10000000000.0,384000000.0
214,W1000X393,W40X264,49900,1020,393.0,401.0,64.0,15900000.0,1350000.0,302,43.9,24.4,8070000000.0,205000000.0
215,W840X392,W33X263,49900,876,392.0,363.0,93.0,15100000.0,2150000.0,401,39.9,22.1,6620000000.0,433000000.0
216,W1000X412,W40X277,52600,1010,412.0,417.0,90.9,18000000.0,2160000.0,401,40.1,21.1,9120000000.0,433000000.0
217,W310X415,W12X279,52800,404,415.0,156.0,85.9,6440000.0,2340000.0,333,62.7,38.9,1290000000.0,390000000.0
218,W610X415,W24X279,52800,678,415.0,274.0,80.5,11800000.0,2030000.0,338,53.1,29.5,4000000000.0,343000000.0
219,W530X409,W21X275,52800,612,409.0,246.0,78.7,10500000.0,2000000.0,328,55.6,31,3200000000.0,328000000.0
220,W1000X415,W40X278,53100,1020,415.0,401.0,64.0,16700000.0,1430000.0,305,46,26.2,8530000000.0,217000000.0
221,W920X420,W36X282,53500,942,420.0,391.0,96.5,17200000.0,2360000.0,422,39.9,22.5,8160000000.0,499000000.0
222,W690X419,W27X281,53600,744,419.0,305.0,86.1,13300000.0,2180000.0,366,49,26.9,4950000000.0,397000000.0
223,W460X421,W18X283,53700,556,421.0,219.0,73.9,9260000.0,1930000.0,302,63.5,35.6,2570000000.0,293000000.0
224,W360X421,W14X283,53700,424,421.0,172.0,106.0,7520000.0,2930000.0,409,52.6,32.8,1600000000.0,599000000.0
225,W1100X433,W44X290,55100,1110,433.0,452.0,88.6,20300000.0,2160000.0,401,40.1,22,11200000000.0,433000000.0
226,W840X433,W33X291,55200,884,433.0,366.0,93.5,16700000.0,2390000.0,404,43.9,24.4,7370000000.0,483000000.0
227,W760X434,W30X292,55500,813,434.0,335.0,90.9,15200000.0,2360000.0,389,47,25.9,6200000000.0,458000000.0
228,W1000X438,W40X294,55600,1030,438.0,404.0,64.8,17700000.0,1530000.0,305,49,26.9,9120000000.0,234000000.0
229,W1000X443,W40X297,56300,1010,443.0,414.0,89.9,19200000.0,2260000.0,401,41.9,23.6,9660000000.0,454000000.0
230,W920X449,W36X302,57400,947,449.0,391.0,97.0,18500000.0,2560000.0,424,42.7,24,8780000000.0,541000000.0
231,W310X454,W12X305,57700,414,454.0,160.0,86.9,7130000.0,2610000.0,335,68.8,41.4,1480000000.0,437000000.0
232,W610X455,W24X306,57900,688,455.0,277.0,81.3,12900000.0,2250000.0,340,57.9,32,4450000000.0,383000000.0
233,W690X457,W27X307,58200,752,457.0,305.0,86.6,14500000.0,2390000.0,366,53.1,29.5,5450000000.0,437000000.0
234,W360X463,W14X311,59000,434,463.0,175.0,107.0,8290000.0,3260000.0,411,57.4,35.8,1800000000.0,670000000.0
235,W460X464,W18X311,59100,566,464.0,221.0,74.9,10200000.0,2160000.0,305,69.6,38.6,2900000000.0,331000000.0
236,W840X473,W33X318,60500,894,473.0,368.0,94.2,18200000.0,2640000.0,406,48,26.4,8120000000.0,537000000.0
237,W1000X483,W40X324,61500,1020,483.0,417.0,90.9,21000000.0,2510000.0,404,46,25.4,10700000000.0,508000000.0
238,W1000X486,W40X327,61900,1040,486.0,406.0,65.5,19700000.0,1720000.0,307,54.1,30,10200000000.0,266000000.0
239,W760X484,W30X326,61900,823,484.0,335.0,91.4,17000000.0,2650000.0,391,52.1,29,6990000000.0,516000000.0
240,W920X491,W36X330,62500,958,491.0,394.0,97.3,20300000.0,2800000.0,422,47,25.9,9700000000.0,591000000.0
241,W1000X494,W40X331,63000,1040,494.0,404.0,65.3,19800000.0,1740000.0,310,54.1,31,10300000000.0,268000000.0
242,W610X498,W24X335,63400,699,498.0,279.0,82.0,14200000.0,2490000.0,343,63,35.1,4950000000.0,429000000.0
243,W1100X499,W44X335,63500,1120,499.0,452.0,88.6,23100000.0,2460000.0,404,45,26.2,12900000000.0,499000000.0
244,W310X500,W12X336,63800,427,500.0,163.0,88.1,7910000.0,2900000.0,340,75.2,45.2,1690000000.0,495000000.0
245,W690X500,W27X336,64000,762,500.0,307.0,87.6,15900000.0,2650000.0,371,57.9,32,6080000000.0,491000000.0
246,W360X509,W14X342,65200,445,509.0,177.0,108.0,9140000.0,3620000.0,417,62.7,39.1,2040000000.0,753000000.0
247,W840X527,W33X354,67100,904,527.0,368.0,95.0,20300000.0,2970000.0,409,53.1,29.5,9160000000.0,608000000.0
248,W760X531,W30X357,67700,833,531.0,338.0,92.5,18700000.0,2930000.0,394,56.9,31.5,7780000000.0,579000000.0
249,W920X537,W36X361,68400,965,537.0,396.0,97.8,22100000.0,3080000.0,424,51.1,28.4,10700000000.0,653000000.0
250,W1000X539,W40X362,68400,1030,539.0,419.0,91.4,23300000.0,2830000.0,406,51.1,28.4,12000000000.0,574000000.0
251,W610X551,W24X370,70300,711,551.0,282.0,83.1,15700000.0,2790000.0,348,69.1,38.6,5580000000.0,483000000.0
252,W690X548,W27X368,70300,772,548.0,310.0,88.4,17400000.0,2930000.0,373,63,35.1,6740000000.0,545000000.0
253,W360X551,W14X370,70300,455,551.0,180.0,108.0,9950000.0,3950000.0,419,67.6,42.2,2260000000.0,828000000.0
254,W1000X554,W40X372,71000,1030,554.0,419.0,91.4,23900000.0,2900000.0,409,52.1,29.5,12300000000.0,591000000.0
255,W840X576,W33X387,73500,914,576.0,371.0,95.8,22100000.0,3280000.0,411,57.9,32,10100000000.0,674000000.0
256,W760X582,W30X391,74200,843,582.0,340.0,93.2,20500000.0,3240000.0,396,62,34.5,8620000000.0,645000000.0
257,W1000X584,W40X392,74800,1060,584.0,409.0,67.1,23600000.0,2130000.0,315,64,36.1,12400000000.0,334000000.0
258,W920X588,W36X395,74800,975,588.0,399.0,98.6,24400000.0,3410000.0,427,55.9,31,11900000000.0,728000000.0
259,W360X592,W14X398,75500,465,592.0,182.0,109.0,10700000.0,4290000.0,422,72.4,45,2500000000.0,903000000.0
260,W1000X591,W40X397,75500,1040,591.0,422.0,92.5,25600000.0,3130000.0,409,55.9,31,13300000000.0,641000000.0
261,W360X634,W14X426,80600,475,634.0,184.0,110.0,11600000.0,4640000.0,424,77.2,47.8,2750000000.0,982000000.0
262,W1000X642,W40X431,81900,1050,642.0,422.0,92.7,27700000.0,3410000.0,411,59.9,34,14500000000.0,703000000.0
263,W920X656,W36X441,83900,988,656.0,399.0,99.6,27000000.0,3850000.0,432,62,34.5,13400000000.0,828000000.0
264,W360X677,W14X455,86500,483,677.0,186.0,111.0,12400000.0,4980000.0,427,81.5,51.3,2990000000.0,1070000000.0
265,W920X725,W36X487,92300,998,725.0,401.0,101.0,30000000.0,4310000.0,434,68.1,38.1,15000000000.0,937000000.0
266,W360X744,W14X500,94800,498,744.0,190.0,113.0,13700000.0,5560000.0,432,88.9,55.6,3420000000.0,1200000000.0
267,W1000X748,W40X503,95500,1070,748.0,427.0,94.5,32400000.0,4080000.0,417,70.1,39.1,17300000000.0,849000000.0
268,W920X787,W36X529,101000,1010,787.0,406.0,102.0,32600000.0,4740000.0,437,73.9,40.9,16500000000.0,1040000000.0
269,W690X802,W27X539,103000,826,802.0,323.0,92.7,25700000.0,4540000.0,389,89.9,50,10700000000.0,878000000.0
270,W360X818,W14X550,105000,513,818.0,194.0,114.0,15300000.0,6190000.0,437,97,60.5,3930000000.0,1350000000.0
271,W1000X883,W40X593,112000,1090,883.0,432.0,96.5,38300000.0,4950000.0,424,82,45.5,21000000000.0,1050000000.0
272,W360X900,W14X605,115000,531,900.0,198.0,116.0,17000000.0,6930000.0,442,106,66,4500000000.0,1530000000.0
273,W920X970,W36X652,124000,1040,970.0,411.0,104.0,40300000.0,6010000.0,447,89.9,50,21100000000.0,1340000000.0
274,W1000X976,W40X655,125000,1110,975.0,434.0,98.0,42500000.0,5570000.0,429,89.9,50,23500000000.0,1190000000.0
275,W360X990,W14X665,126000,549,990.0,203.0,117.0,18800000.0,7730000.0,450,115,71.9,5160000000.0,1740000000.0
276,W920X1077,W36X723,137000,1060,1080.0,417.0,106.0,44900000.0,6820000.0,452,99.1,55.1,23800000000.0,1540000000.0
277,W360X1086,W14X730,139000,569,1090.0,208.0,119.0,21000000.0,8640000.0,455,125,78,5950000000.0,1960000000.0
278,W920X1194,W36X802,152000,1080,1190.0,422.0,107.0,49800000.0,7670000.0,457,109,60.5,27000000000.0,1750000000.0
279,W360X1202,W14X808,154000,579,1200.0,208.0,123.0,22800000.0,9780000.0,472,130,95,6620000000.0,2310000000.0
280,W920X1269,W36X853,162000,1090,1270.0,424.0,109.0,53300000.0,8280000.0,462,115,64,29100000000.0,1910000000.0
281,W360X1299,W14X873,166000,599,1300.0,213.0,124.0,25100000.0,10800000.0,478,140,100,7530000000.0,2570000000.0
282,W920X1377,W36X925,175000,1090,1380.0,417.0,108.0,55600000.0,8700000.0,472,115,76.7,30400000000.0,2060000000.0
