,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
19,W150X29.8,W6X20,3790,157,29.8,67.6,38.1,220000.0,72300.0,153,9.27,6.6,17200000.0,5540000.0
20,W200X31.3,W8X21,3970,210,31.3,88.6,32.0,298000.0,60800.0,134,10.2,6.35,31300000.0,4070000.0000000005
21,W310X32.7,W12X22,4180,312,32.7,125.0,21.5,416000.0,37900.0,102,10.8,6.6,64900000.00000001,1940000.0
22,W250X32.7,W10X22,4190,259,32.7,108.0,33.8,380000.0,65099.99999999999,146,9.14,6.1,49100000.0,4750000.0
23,W360X32.9,W14X22,4190,348,32.9,141.0,26.4,475000.0,45900.0,127,8.51,5.84,82800000.0,2910000.0
24,W200X35.9,W8X24,4570,201,35.9,86.9,40.9,342000.0,92300.0,165,10.2,6.22,34400000.0,7620000.0
25,W150X37.1,W6X25,4740,162,37.1,68.6,38.6,274000.0,91900.0,154,11.6,8.13,22200000.0,7120000.0
26,W250X38.5,W10X26,4910,262,38.5,110.0,34.5,457000.0,80100.0,147,11.2,6.6,59900000.0,5870000.0
27,W310X38.7,W12X26,4940,310,38.7,131.0,38.4,547000.0,87500.0,165,9.65,5.84,84900000.0,7200000.0
28,W410X38.8,W16X26,4950,399,38.8,159.0,28.4,629000.0,57200.0,140,8.76,6.35,125000000.0,3990000.0
29,W360X39,W14X26,4960,353,39.0,144.0,27.4,578000.0,58200.0,128,10.7,6.48,102000000.0,3710000.0
30,W200X41.7,W8X28,5320,205,41.7,87.6,41.1,398000.0,109000.0,166,11.8,7.24,40800000.0,9030000.0
31,W310X44.5,W12X30,5670,312,44.5,132.0,38.6,633000.0,102000.0,166,11.2,6.6,99100000.0,8450000.0
32,W250X44.8,W10X30,5700,267,44.8,111.0,34.8,531000.0,94200.0,148,13,7.62,70800000.0,6950000.0
33,W360X44,W14X30,5710,351,44.0,146.0,37.8,688000.0,95400.0,171,9.78,6.86,121000000.0,8160000.0
34,W200X46.1,W8X31,5890,203,46.1,88.1,51.3,451000.0,152000.0,203,11,7.24,45800000.0,15400000.0
35,W410X46.1,W16X31,5890,404,46.1,163.0,29.7,773000.0,73600.0,140,11.2,6.99,156000000.0,5160000.0
36,W250X49.1,W10X33,6260,247,49.1,106.0,49.3,574000.0,151000.0,202,11,7.37,71200000.0,15200000.0
37,W360X51,W14X34,6450,356,51.0,148.0,38.9,796000.0,113000.0,171,11.6,7.24,142000000.0,9700000.0
38,W200X52,W8X35,6650,206,52.0,89.2,51.6,511000.0,174000.0,204,12.6,7.87,52900000.0,17700000.0
39,W310X52,W12X35,6650,318,52.0,133.0,39.1,747000.0,122000.0,167,13.2,7.62,119000000.0,10200000.0
40,W460X52,W18X35,6650,450,52.0,179.0,31.0,944000.0,83900.0,152,10.8,7.62,212000000.0,6370000.0
41,W410X53,W16X36,6840,404,53.0,165.0,38.6,926000.0,115000.0,178,10.9,7.49,186000000.0,10200000.0
42,W360X57.8,W14X38,7230,358,57.8,149.0,39.4,895000.0,129000.0,172,13.1,7.87,160000000.0,11100000.0
43,W250X58,W10X39,7420,252,58.0,108.0,50.3,690000.0,185000.0,203,13.5,8,87000000.0,18700000.0
44,W310X60,W12X40,7550,302,60.0,130.0,49.3,844000.0,180000.0,203,13.1,7.49,128000000.0,18400000.0
45,W200X59,W8X40,7550,210,59.0,89.7,51.8,582000.0,200000.0,205,14.2,9.14,60800000.0,20400000.0
46,W460X60,W18X40,7610,455,60.0,183.0,32.3,1120000.0,104000.0,153,13.3,8,255000000.0,7950000.0
47,W410X60,W16X40,7610,406,60.0,168.0,39.9,1060000.0,135000.0,178,12.8,7.75,216000000.0,12000000.0
48,W360X64,W14X43,8130,348,64.0,148.0,48.0,1030000.0,185000.0,203,13.5,7.75,178000000.0,18800000.0
49,W530X66,W21X44,8390,526,66.0,205.0,32.0,1340000.0,104000.0,165,11.4,8.89,351000000.0,8620000.0
50,W310X67,W12X45,8450,307,67.0,131.0,49.5,946000.0,203000.0,204,14.6,8.51,145000000.0,20800000.0
51,W250X67,W10X45,8580,257,67.0,110.0,51.1,805000.0,218000.0,204,15.7,8.89,103000000.0,22200000.0
52,W410X67,W16X45,8580,409,67.0,169.0,39.9,1190000.0,153000.0,179,14.4,8.76,244000000.0,13700000.0
53,W460X68,W18X46,8710,460,68.0,184.0,32.8,1290000.0,122000.0,154,15.4,9.14,296000000.0,9370000.0
54,W200X71,W8X48,9100,216,71.0,91.7,52.8,708000.0,246000.0,206,17.4,10.2,76600000.0,25300000.0
55,W360X72,W14X48,9100,351,72.0,149.0,48.5,1150000.0,210000.0,204,15.1,8.64,201000000.0,21400000.0
56,W530X72,W21X48,9100,523,72.0,209.0,42.2,1520000.0,156000.0,207,10.9,8.89,399000000.0,16100000.000000002
57,W250X73,W10X49,9290,254,73.0,110.0,64.5,895000.0,306000.0,254,14.2,8.64,113000000.0,38900000.0
58,W310X74,W12X50,9420,310,74.0,132.0,49.8,1050000.0,228000.0,205,16.3,9.4,163000000.0,23400000.0
59,W530X74,W21X50,9480,528,74.0,208.0,33.0,1550000.0,125000.0,166,13.6,9.65,410000000.0,10400000.0
60,W460X74,W18X50,9480,457,74.0,187.0,41.9,1460000.0,175000.0,191,14.5,9.02,333000000.0,16700000.0
61,W410X75,W16X50,9480,414,75.0,170.0,40.4,1330000.0,172000.0,180,16,9.65,274000000.0,15500000.0
62,W310X79,W12X53,10100,307,79.0,133.0,63.0,1160000.0,315000.0,254,14.6,8.76,177000000.0,39900000.0
63,W360X79,W14X53,10100,353,79.0,150.0,48.8,1270000.0,234000.0,205,16.8,9.4,225000000.0,24000000.0
64,W250X80,W10X54,10200,257,80.0,111.0,65.0,983000.0,338000.0,254,15.6,9.4,126000000.0,42900000.0
65,W610X82,W24X55,10500,599,82.0,231.0,34.0,1870000.0,136000.0,178,12.8,10,562000000.0,12100000.0
66,W530X82,W21X55,10500,528,82.0,213.0,43.9,1800000.0,193000.0,209,13.3,9.53,475000000.0,20100000.0
67,W460X82,W18X55,10500,460,82.0,188.0,42.4,1610000.0,195000.0,191,16,9.91,370000000.0,18700000.0
68,W410X85,W16X57,10800,417,85.0,171.0,40.6,1510000.0,198000.0,181,18.2,10.9,316000000.0,17900000.0
69,W530X85,W21X57,10800,536,85.0,212.0,34.3,1820000.0,153000.0,167,16.5,10.3,487000000.0,12700000.0
70,W200X86,W8X58,11000,222,86.0,92.7,53.3,852000.0,300000.0,209,20.6,13,94900000.0,31300000.0
71,W310X86,W12X58,11000,310,86.0,134.0,63.8,1280000.0,351000.0,254,16.3,9.14,198000000.0,44500000.0
72,W460X89,W18X60,11400,462,89.0,190.0,42.7,1770000.0,218000.0,192,17.7,10.5,410000000.0,20900000.0
73,W250X89,W10X60,11400,259,89.0,112.0,65.3,1090000.0,377000.0,257,17.3,10.7,142000000.0,48300000.0
