,level_0,index,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
185,185,185,W360X551,W14X370,70300,455,551.0,180.0,108.0,9950.0,3950.0,419,67.6,42.2,2260.0,828.0
186,186,186,W360X509,W14X342,65200,445,509.0,177.0,108.0,9140.0,3620.0,417,62.7,39.1,2040.0,753.0
187,187,187,W360X463,W14X311,59000,434,463.0,175.0,107.0,8290.0,3260.0,411,57.4,35.8,1800.0,670.0
188,188,188,W360X421,W14X283,53700,424,421.0,172.0,106.0,7520.0,2930.0,409,52.6,32.8,1600.0,599.0
189,189,189,W360X382,W14X257,48800,417,382.0,170.0,105.0,6800.0,2640.0,406,48,30,1420.0,537.0
190,190,190,W360X347,W14X233,44200,406,347.0,168.0,104.0,6150.0,2380.0,404,43.7,27.2,1250.0,479.0
191,191,191,W360X314,W14X211,40000,399,314.0,166.0,103.0,5540.0,2130.0,401,39.6,24.9,1110.0,429.0
192,192,192,W360X287,W14X193,36600,394,287.0,165.0,103.0,5080.0,1950.0,399,36.6,22.6,999.0,388.0
193,193,193,W360X262,W14X176,33400,386,262.0,163.0,102.0,4600.0,1750.0,399,33.3,21.1,891.0,349.0
194,194,194,W360X237,W14X159,30100,381,237.0,162.0,102.0,4160.0,1580.0,396,30.2,18.9,791.0,311.0
195,195,195,W360X216,W14X145,27500,376,216.0,161.0,101.0,3800.0,1430.0,394,27.7,17.3,712.0,282.0
196,196,196,W360X196,W14X132,25000,373,196.0,160.0,95.5,3420.0,1220.0,373,26.2,16.4,637.0,228.0
197,197,197,W360X179,W14X120,22800,368,179.0,158.0,95.0,3110.0,1110.0,373,23.9,15,574.0,206.0
198,198,198,W360X162,W14X109,20600,363,162.0,158.0,94.7,2830.0,1000.0,371,21.8,13.3,516.0,186.0
199,199,199,W360X147,W14X99,18800,361,147.0,157.0,94.2,2570.0,905.0,371,19.8,12.3,462.0,167.0
200,200,200,W360X134,W14X90,17100,356,134.0,156.0,94.0,2340.0,818.0,368,18,11.2,416.0,151.0
201,201,201,W360X122,W14X82,15500,363,122.0,154.0,63.0,2020.0,480.0,257,21.7,13,367.0,61.6
202,202,202,W360X110,W14X74,14100,361,110.0,153.0,63.0,1840.0,436.0,257,19.9,11.4,331.0,55.8
203,203,203,W360X101,W14X68,12900,356,101.0,153.0,62.5,1690.0,397.0,254,18.3,10.5,301.0,50.4
204,204,204,W360X91,W14X61,11500,353,91.0,152.0,62.2,1510.0,352.0,254,16.4,9.53,266.0,44.5
205,205,205,W360X79,W14X53,10100,353,79.0,150.0,48.8,1270.0,234.0,205,16.8,9.4,225.0,24.0
206,206,206,W360X72,W14X48,9100,351,72.0,149.0,48.5,1150.0,210.0,204,15.1,8.64,201.0,21.4
207,207,207,W360X64,W14X43,8130,348,64.0,148.0,48.0,1030.0,185.0,203,13.5,7.75,178.0,18.8
208,208,208,W360X57.8,W14X38,7230,358,57.8,149.0,39.4,895.0,129.0,172,13.1,7.87,160.0,11.1
209,209,209,W360X51,W14X34,6450,356,51.0,148.0,38.9,796.0,113.0,171,11.6,7.24,142.0,9.7
210,210,210,W360X44,W14X30,5710,351,44.0,146.0,37.8,688.0,95.4,171,9.78,6.86,121.0,8.16
211,211,211,W360X39,W14X26,4960,353,39.0,144.0,27.4,578.0,58.2,128,10.7,6.48,102.0,3.71
212,212,212,W360X32.9,W14X22,4190,348,32.9,141.0,26.4,475.0,45.9,127,8.51,5.84,82.8,2.91
213,213,213,W310X500,W12X336,63800,427,500.0,163.0,88.1,7910.0,2900.0,340,75.2,45.2,1690.0,495.0
214,214,214,W310X454,W12X305,57700,414,454.0,160.0,86.9,7130.0,2610.0,335,68.8,41.4,1480.0,437.0
215,215,215,W310X415,W12X279,52800,404,415.0,156.0,85.9,6440.0,2340.0,333,62.7,38.9,1290.0,390.0
216,216,216,W310X375,W12X252,47800,391,375.0,154.0,84.8,5780.0,2080.0,330,57.2,35.6,1130.0,345.0
217,217,217,W310X342,W12X230,43700,384,342.0,152.0,84.1,5260.0,1880.0,328,52.6,32.8,1010.0,309.0
218,218,218,W310X313,W12X210,39900,373,313.0,150.0,83.3,4790.0,1700.0,325,48.3,30,891.0,276.0
219,219,219,W310X283,W12X190,36100,366,283.0,148.0,82.6,4310.0,1520.0,323,44.2,26.9,787.0,245.0
220,220,220,W310X253,W12X170,32300,356,253.0,146.0,81.8,3850.0,1350.0,320,39.6,24.4,687.0,215.0
221,221,221,W310X226,W12X152,28800,348,226.0,144.0,81.0,3420.0,1190.0,318,35.6,22.1,595.0,189.0
222,222,222,W310X202,W12X136,25700,340,202.0,142.0,80.3,3050.0,1050.0,315,31.8,20.1,516.0,166.0
223,223,223,W310X179,W12X120,22700,333,179.0,140.0,79.5,2670.0,918.0,312,28.2,18,445.0,144.0
224,224,224,W310X158,W12X106,20100,328,158.0,139.0,79.0,2380.0,808.0,310,25.1,15.5,388.0,125.0
225,225,225,W310X143,W12X96,18200,323,143.0,138.0,78.5,2150.0,728.0,310,22.9,14,347.0,112.0
226,226,226,W310X129,W12X87,16500,318,129.0,137.0,78.0,1930.0,651.0,307,20.6,13.1,308.0,100.0
227,227,227,W310X117,W12X79,15000,315,117.0,136.0,77.5,1750.0,587.0,307,18.7,11.9,276.0,89.9
228,228,228,W310X107,W12X72,13600,312,107.0,135.0,77.2,1600.0,531.0,305,17,10.9,248.0,81.2
229,229,229,W310X97,W12X65,12300,307,97.0,134.0,76.7,1440.0,477.0,305,15.4,9.91,222.0,72.4
230,230,230,W310X86,W12X58,11000,310,86.0,134.0,63.8,1280.0,351.0,254,16.3,9.14,198.0,44.5
231,231,231,W310X79,W12X53,10100,307,79.0,133.0,63.0,1160.0,315.0,254,14.6,8.76,177.0,39.9
232,232,232,W310X74,W12X50,9420,310,74.0,132.0,49.8,1050.0,228.0,205,16.3,9.4,163.0,23.4
233,233,233,W310X67,W12X45,8450,307,67.0,131.0,49.5,946.0,203.0,204,14.6,8.51,145.0,20.8
234,234,234,W310X60,W12X40,7550,302,60.0,130.0,49.3,844.0,180.0,203,13.1,7.49,128.0,18.4
235,235,235,W310X52,W12X35,6650,318,52.0,133.0,39.1,747.0,122.0,167,13.2,7.62,119.0,10.2
236,236,236,W310X44.5,W12X30,5670,312,44.5,132.0,38.6,633.0,102.0,166,11.2,6.6,99.1,8.45
237,237,237,W310X38.7,W12X26,4940,310,38.7,131.0,38.4,547.0,87.5,165,9.65,5.84,84.9,7.2
238,238,238,W310X32.7,W12X22,4180,312,32.7,125.0,21.5,416.0,37.9,102,10.8,6.6,64.9,1.94
239,239,239,W310X28.3,W12X19,3590,310,28.3,122.0,20.9,349.0,30.8,102,8.89,5.97,54.1,1.57
240,240,240,W310X23.8,W12X16,3040,305,23.8,119.0,19.6,280.0,23.1,101,6.73,5.59,42.9,1.17
241,241,241,W310X21,W12X14,2680,302,21.0,117.0,19.1,244.0,19.5,101,5.72,5.08,36.9,0.982
242,242,242,W250X167,W10X112,21200,290,167.0,118.0,68.1,2060.0,742.0,264,31.8,19.2,298.0,98.2
243,243,243,W250X149,W10X100,18900,282,149.0,117.0,67.3,1840.0,655.0,262,28.4,17.3,259.0,86.2
244,244,244,W250X131,W10X88,16800,274,131.0,115.0,66.8,1610.0,570.0,262,25.1,15.4,222.0,74.5
245,245,245,W250X115,W10X77,14600,269,115.0,114.0,66.0,1410.0,493.0,259,22.1,13.5,189.0,64.1
246,246,246,W250X101,W10X68,12800,264,101.0,113.0,65.8,1240.0,433.0,257,19.6,11.9,164.0,55.8
247,247,247,W250X89,W10X60,11400,259,89.0,112.0,65.3,1090.0,377.0,257,17.3,10.7,142.0,48.3
248,248,248,W250X80,W10X54,10200,257,80.0,111.0,65.0,983.0,338.0,254,15.6,9.4,126.0,42.9
249,249,249,W250X73,W10X49,9290,254,73.0,110.0,64.5,895.0,306.0,254,14.2,8.64,113.0,38.9
