,level_0,index,AISC_Manual_Label.1,AISC_Manual_Label,A.1,d.1,W.1,rx.1,ry.1,Sx.1,Sy.1,bf.1,tf.1,tw.1,Ix.1,Iy.1
72,72,72,W760X314,W30X211,40200,785,314.0,328.0,88.6,10900.0,1640.0,384,33.5,19.7,4290.0,315.0
73,73,73,W760X284,W30X191,36200,780,284.0,325.0,87.9,9830.0,1470.0,381,30.2,18,3830.0,280.0
74,74,74,W760X257,W30X173,32800,772,257.0,323.0,86.9,8870.0,1310.0,381,27.2,16.6,3430.0,249.0
75,75,75,W760X220,W30X148,28100,780,220.0,315.0,57.9,7140.0,710.0,267,30,16.5,2780.0,94.5
76,76,76,W760X196,W30X132,25000,770,196.0,310.0,57.2,6230.0,610.0,267,25.4,15.6,2400.0,81.6
77,77,77,W760X185,W30X124,23500,767,185.0,307.0,56.6,5820.0,564.0,267,23.6,14.9,2230.0,75.3
78,78,78,W760X173,W30X116,22100,762,173.0,305.0,55.6,5390.0,513.0,267,21.6,14.4,2050.0,68.3
79,79,79,W760X161,W30X108,20500,757,161.0,302.0,54.6,4900.0,457.0,267,19.3,13.8,1860.0,60.8
80,80,80,W760X147,W30X99,18700,754,147.0,297.0,53.3,4410.0,401.0,267,17,13.2,1660.0,53.3
81,81,81,W760X134,W30X90,17000,749,134.0,297.0,53.1,4010.0,362.0,264,15.5,11.9,1500.0,47.9
82,82,82,W690X802,W27X539,103000,826,802.0,323.0,92.7,25700.0,4540.0,389,89.9,50,10700.0,878.0
83,83,83,W690X548,W27X368,70300,772,548.0,310.0,88.4,17400.0,2930.0,373,63,35.1,6740.0,545.0
84,84,84,W690X500,W27X336,64000,762,500.0,307.0,87.6,15900.0,2650.0,371,57.9,32,6080.0,491.0
85,85,85,W690X457,W27X307,58200,752,457.0,305.0,86.6,14500.0,2390.0,366,53.1,29.5,5450.0,437.0
86,86,86,W690X419,W27X281,53600,744,419.0,305.0,86.1,13300.0,2180.0,366,49,26.9,4950.0,397.0
87,87,87,W690X384,W27X258,49100,737,384.0,302.0,85.3,12200.0,1970.0,363,45,24.9,4500.0,358.0
88,88,88,W690X350,W27X235,44800,729,350.0,300.0,84.6,11100.0,1770.0,361,40.9,23.1,4040.0,320.0
89,89,89,W690X323,W27X217,41200,721,323.0,300.0,84.3,10300.0,1640.0,358,38.1,21.1,3710.0,293.0
90,90,90,W690X289,W27X194,36800,714,289.0,297.0,83.6,9160.0,1440.0,356,34,19.1,3270.0,258.0
91,91,91,W690X265,W27X178,33900,706,265.0,295.0,82.6,8280.0,1290.0,358,30.2,18.4,2920.0,231.0
92,92,92,W690X240,W27X161,30700,701,240.0,292.0,82.0,7510.0,1160.0,356,27.4,16.8,2630.0,207.0
93,93,93,W690X217,W27X146,27900,696,217.0,292.0,81.3,6780.0,1040.0,356,24.8,15.4,2360.0,184.0
94,94,94,W690X192,W27X129,24400,701,192.0,284.0,56.1,5650.0,603.0,254,27.9,15.5,1980.0,76.6
95,95,95,W690X170,W27X114,21700,693,170.0,279.0,55.4,4900.0,516.0,257,23.6,14.5,1700.0,66.2
96,96,96,W690X152,W27X102,19400,688,152.0,279.0,54.6,4380.0,456.0,254,21.1,13.1,1510.0,57.9
97,97,97,W690X140,W27X94,17800,683,140.0,277.0,53.8,3980.0,406.0,254,18.9,12.4,1360.0,51.6
98,98,98,W690X125,W27X84,15900,678,125.0,272.0,52.6,3490.0,347.0,254,16.3,11.7,1190.0,44.1
99,99,99,W610X551,W24X370,70300,711,551.0,282.0,83.1,15700.0,2790.0,348,69.1,38.6,5580.0,483.0
100,100,100,W610X498,W24X335,63400,699,498.0,279.0,82.0,14200.0,2490.0,343,63,35.1,4950.0,429.0
101,101,101,W610X455,W24X306,57900,688,455.0,277.0,81.3,12900.0,2250.0,340,57.9,32,4450.0,383.0
102,102,102,W610X415,W24X279,52800,678,415.0,274.0,80.5,11800.0,2030.0,338,53.1,29.5,4000.0,343.0
103,103,103,W610X372,W24X250,47400,668,372.0,272.0,79.8,10600.0,1800.0,335,48,26.4,3530.0,301.0
104,104,104,W610X341,W24X229,43400,660,341.0,272.0,79.0,9640.0,1630.0,333,43.9,24.4,3180.0,271.0
105,105,105,W610X307,W24X207,39200,653,307.0,269.0,78.2,8700.0,1460.0,330,39.9,22.1,2840.0,241.0
106,106,106,W610X285,W24X192,36500,648,285.0,267.0,78.0,8050.0,1340.0,330,37.1,20.6,2610.0,221.0
107,107,107,W610X262,W24X176,33400,640,262.0,267.0,77.2,7370.0,1220.0,328,34,19.1,2360.0,199.0
108,108,108,W610X241,W24X162,30800,635,241.0,264.0,77.5,6780.0,1120.0,330,31,17.9,2150.0,184.0
109,109,109,W610X217,W24X146,27700,627,217.0,262.0,76.5,6080.0,991.0,328,27.7,16.5,1910.0,163.0
110,110,110,W610X195,W24X131,24900,622,195.0,259.0,75.4,5390.0,869.0,328,24.4,15.4,1670.0,142.0
111,111,111,W610X174,W24X117,22200,617,174.0,257.0,74.7,4770.0,762.0,325,21.6,14,1470.0,124.0
112,112,112,W610X155,W24X104,19800,612,155.0,257.0,73.9,4230.0,667.0,325,19.1,12.7,1290.0,108.0
113,113,113,W610X153,W24X103,19500,622,153.0,254.0,50.5,4010.0,434.0,229,24.9,14,1250.0,49.5
114,114,114,W610X140,W24X94,17900,617,140.0,251.0,50.3,3640.0,393.0,230,22.2,13.1,1120.0,45.4
115,115,115,W610X125,W24X84,15900,612,125.0,249.0,49.5,3210.0,342.0,229,19.6,11.9,986.0,39.3
116,116,116,W610X113,W24X76,14500,607,113.0,246.0,48.8,2880.0,302.0,228,17.3,11.2,874.0,34.3
117,117,117,W610X101,W24X68,13000,602,101.0,243.0,47.5,2520.0,257.0,228,14.9,10.5,762.0,29.3
118,118,118,W610X92,W24X62,11700,602,92.0,234.0,35.1,2150.0,161.0,179,15,10.9,645.0,14.4
119,119,119,W610X82,W24X55,10500,599,82.0,231.0,34.0,1870.0,136.0,178,12.8,10,562.0,12.1
120,120,120,W530X409,W21X275,52800,612,409.0,246.0,78.7,10500.0,2000.0,328,55.6,31,3200.0,328.0
121,121,121,W530X369,W21X248,47600,602,369.0,244.0,78.2,9440.0,1790.0,325,50.5,27.9,2840.0,291.0
122,122,122,W530X332,W21X223,42900,594,332.0,243.0,77.2,8520.0,1580.0,323,45.5,25.4,2530.0,256.0
123,123,123,W530X300,W21X201,38300,584,300.0,241.0,76.7,7550.0,1410.0,320,41.4,23.1,2210.0,226.0
124,124,124,W530X272,W21X182,34600,577,272.0,239.0,76.2,6830.0,1270.0,318,37.6,21.1,1970.0,201.0
125,125,125,W530X248,W21X166,31500,572,248.0,238.0,75.9,6230.0,1150.0,315,34.5,19.1,1780.0,181.0
126,126,126,W530X219,W21X147,27900,561,219.0,233.0,74.9,5390.0,985.0,318,29.2,18.3,1510.0,157.0
127,127,127,W530X196,W21X132,25000,554,196.0,232.0,74.4,4830.0,877.0,315,26.4,16.5,1340.0,139.0
128,128,128,W530X182,W21X122,23200,551,182.0,231.0,74.2,4470.0,806.0,315,24.4,15.2,1230.0,127.0
129,129,129,W530X165,W21X111,21000,546,165.0,230.0,73.7,4080.0,729.0,312,22.2,14,1110.0,114.0
130,130,130,W530X150,W21X101,19200,544,150.0,229.0,73.4,3720.0,660.0,312,20.3,12.7,1010.0,103.0
131,131,131,W530X138,W21X93,17600,549,138.0,221.0,46.7,3150.0,362.0,214,23.6,14.7,862.0,38.7
132,132,132,W530X123,W21X83,15700,544,123.0,220.0,46.5,2800.0,320.0,212,21.2,13.1,762.0,33.9
133,133,133,W530X109,W21X73,13900,538,109.0,219.0,46.0,2470.0,279.0,211,18.8,11.6,666.0,29.4
